# Tag | Avg latency (ms) | 5-th percentile latency (ms) | 25-th percentile latency (ms) | 50-th percentile latency (ms) | 75-th percentile latency (ms) | 95-th percentile latency (ms) | Throughput (tps) | Effective length (s)
rate-10000-lat-10-100-bw-1500-4bg-run-2 | 66385.78222820288 | 17673.568137 | 39382.227534 | 65560.417364 | 94090.030432 | 114174.486899 | 99303.16313072892 | 269.2632052898407
rate-10000-lat-10-100-bw-1500-4bg-run-3 | 72678.91533853218 | 21411.083577 | 38227.779866 | 73431.218767 | 105645.921245 | 131368.736433 | 91468.41896345674 | 267.7872896194458
rate-10000-lat-10-100-bw-1500-4bg-run-4 | 57698.592569752174 | 18942.777681 | 37234.618001 | 57437.634736 | 78240.303704 | 97741.925838 | 109598.31311339968 | 270.87832975387573
rate-10000-lat-10-100-bw-1500-4bg-run-5 | 86523.60113603239 | 20230.686873 | 55041.164792 | 91320.78272 | 125808.173365 | 132212.869538 | 93129.07237292423 | 267.23444533348083
rate-10000-lat-10-100-bw-1500-4bg-run-6 | 67041.96201597081 | 20266.086333 | 42523.108524 | 71540.981391 | 90004.424183 | 109195.509974 | 95847.62427499915 | 268.37264037132263
rate-10000-lat-10-100-bw-2000-4bg-baseline-run-1 | 86410.8404087928 | 27325.168116 | 58400.297828 | 95298.469863 | 117173.765351 | 128234.112773 | 86017.58346683392 | 272.28070187568665
rate-10000-lat-10-100-bw-2000-4bg-baseline-run-2 | 89389.02426266446 | 32287.554173 | 72311.203667 | 99859.365837 | 112842.681365 | 125588.628602 | 92954.78453035148 | 273.6842017173767
rate-10000-lat-10-100-bw-2000-4bg-baseline-run-3 | 99888.4757169751 | 30837.824882 | 69496.185709 | 102376.844654 | 137436.492355 | 149704.718504 | 77658.18805042152 | 272.4752731323242
rate-10000-lat-10-100-bw-2000-4bg-baseline-run-4 | 79710.82692507104 | 25451.086599 | 62591.772804 | 78198.537429 | 106217.811704 | 117902.906228 | 96579.22372911648 | 272.74371218681335
rate-10000-lat-10-100-bw-2000-4bg-baseline-run-5 | 92508.31646548462 | 29854.360383 | 51623.359322 | 95709.117672 | 134242.198266 | 140016.772252 | 85549.77329412055 | 272.18961668014526
rate-10000-lat-10-100-bw-2000-4bg-baseline-run-6 | 86567.22877533123 | 27624.763344 | 62293.030057 | 94521.730862 | 111021.651359 | 124863.161435 | 92362.41999411401 | 272.8673415184021
rate-10000-lat-10-100-bw-2000-4bg-run-1 | 56728.872717220314 | 19169.636779 | 39288.139369 | 55201.58222 | 73409.237502 | 95132.943467 | 111625.6746440648 | 269.958251953125
rate-10000-lat-10-100-bw-2000-4bg-run-2 | 63322.33028165657 | 24099.528417 | 39613.641291 | 71409.147274 | 84396.315515 | 93492.852192 | 109605.0997263077 | 268.95566058158875
rate-10000-lat-10-100-bw-2000-4bg-run-3 | 64439.14212374279 | 21557.354148 | 43737.033478 | 69402.889266 | 85609.013473 | 93964.299279 | 109548.12461315213 | 269.2077121734619
rate-10000-lat-10-100-bw-2000-4bg-run-4 | 84160.1490965616 | 24435.075232 | 60248.405932 | 82893.582653 | 111565.114771 | 140161.413074 | 82499.00311995969 | 268.0554087162018
